model,config,k,workload,agents,rungs_present,rungs_missing,n_present,claim_status
GPT-175B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-175B,broadcast,8,wl_broadcast.json,17,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-175B,k-hi,32,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-175B,k-lo,2,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-175B,pipeline,8,wl_pipeline_D4.json,4,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-175B,private,8,wl_private.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-175B,reduce,8,wl_reduce.json,17,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-175B,supervisor,8,wl_supervisor_D4.json,34,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-33B,C-hi,8,wl_C64.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-33B,C-lo,8,wl_C16.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-33B,D-hi,8,wl_D4.json,64,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-33B,D-lo,8,wl_D1.json,16,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-33B,N-hi,8,wl_N64.json,128,A2,A1 A3 A3a A3b A4 A4b A5 A6,1,excluded
LLAMA-33B,N-lo,8,wl_N4.json,8,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-33B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-33B,broadcast,8,wl_broadcast.json,17,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-33B,k-hi,32,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-33B,k-lo,2,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-33B,pipeline,8,wl_pipeline_D4.json,4,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-33B,private,8,wl_private.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-33B,reduce,8,wl_reduce.json,17,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-33B,supervisor,8,wl_supervisor_D4.json,34,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-65B,C-hi,8,wl_C64.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-65B,C-lo,8,wl_C16.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-65B,D-hi,8,wl_D4.json,64,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-65B,D-lo,8,wl_D1.json,16,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-65B,N-hi,8,wl_N64.json,128,A2,A1 A3 A3a A3b A4 A4b A5 A6,1,excluded
LLAMA-65B,N-lo,8,wl_N4.json,8,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-65B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-65B,broadcast,8,wl_broadcast.json,17,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-65B,k-hi,32,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-65B,k-lo,2,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-65B,pipeline,8,wl_pipeline_D4.json,4,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-65B,private,8,wl_private.json,32,A1 A2 A3 A3a A3b A4 A4b A5,A6,8,damaged
LLAMA-65B,reduce,8,wl_reduce.json,17,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-65B,supervisor,8,wl_supervisor_D4.json,34,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-7B,C-hi,8,wl_C64.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-7B,C-lo,8,wl_C16.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-7B,D-hi,8,wl_D4.json,64,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-7B,D-lo,8,wl_D1.json,16,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-7B,N-hi,8,wl_N64.json,128,A2 A5 A6,A1 A3 A3a A3b A4 A4b,3,excluded
LLAMA-7B,N-lo,8,wl_N4.json,8,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-7B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-7B,broadcast,8,wl_broadcast.json,17,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-7B,k-hi,32,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-7B,k-lo,2,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-7B,pipeline,8,wl_pipeline_D4.json,4,A1 A2 A4 A4b A5 A6,A3 A3a A3b,6,damaged
LLAMA-7B,private,8,wl_private.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-7B,reduce,8,wl_reduce.json,17,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA-7B,supervisor,8,wl_supervisor_D4.json,34,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA3-8B,C-hi,8,wl_C64.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA3-8B,C-lo,8,wl_C16.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA3-8B,D-hi,8,wl_D4.json,64,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA3-8B,D-lo,8,wl_D1.json,16,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA3-8B,N-hi,8,wl_N64.json,128,A2,A1 A3 A3a A3b A4 A4b A5 A6,1,excluded
LLAMA3-8B,N-lo,8,wl_N4.json,8,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA3-8B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA3-8B,broadcast,8,wl_broadcast.json,17,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA3-8B,k-hi,32,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA3-8B,k-lo,2,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA3-8B,pipeline,8,wl_pipeline_D4.json,4,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA3-8B,private,8,wl_private.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA3-8B,reduce,8,wl_reduce.json,17,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
LLAMA3-8B,supervisor,8,wl_supervisor_D4.json,34,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
